Date,Day,CAT/GMAT Prep,Task 1 (VARC),Task 2 (DILR),Task 3 (QA),Project Work,Task 4 (Skill),Certifications,Task 5 (Career),LinkedIn/Networking,Done ?
2025-06-01,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Abstract,Bar Graphs,Percentages,Check data consistency in project,SQL Basics,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-06-02,Monday,Quant Practice + 1hr Reading Comprehension,Reading Comprehension ? Science,Line Graphs,Ratios & Proportions,Update dashboard visuals,Python Basics,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-06-03,Tuesday,DI/LR Practice + Verbal mock test,Reading Comprehension ? Politics,Pie Charts,Averages,Build new KPI in dashboard,Power BI ? Dashboards,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-06-04,Wednesday,Mock Test (Full) + Analysis,Para Jumbles,Tables,"Time, Speed & Distance",Update documentation of dashboard,Google Data Analytics Module 1,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-06-05,Thursday,Arithmetic Practice + RC drill,Para Completion & Inference,Caselets,Time & Work,Design visuals with slicers,Google Data Analytics Module 2,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-06-06,Friday,Geometry + DI sets,Sentence Completion,Data Sufficiency,Mixtures,Start summarizing project insights,Scrum Basics,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-06-07,Saturday,Mock Test (Sectional) + Revision,"Fact, Inference, Judgment",Seating Arrangement,Quadratic Equations,Enhance UI of Power BI dashboard,Resume Optimization,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-06-08,Sunday,Weekly Revision + 1hr Verbal RC,Grammar Rules,Blood Relations,Linear Equations,Check data consistency in project,LinkedIn Profile Update,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-06-09,Monday,Quant Practice + 1hr Reading Comprehension,Idioms,Venn Diagrams,Permutation & Combination,Update dashboard visuals,Build Personal Website,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-06-10,Tuesday,DI/LR Practice + Verbal mock test,Analogies,Binary Logic,Sequence & Series,Build new KPI in dashboard,Write LinkedIn Post,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-06-11,Wednesday,Mock Test (Full) + Analysis,Sentence Correction,Puzzle Sets,Triangles,Update documentation of dashboard,Connect with Alumni,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-06-12,Thursday,Arithmetic Practice + RC drill,Vocabulary ? Word Usage,Syllogisms,Circles,Design visuals with slicers,Mock Interview Prep,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-06-13,Friday,Geometry + DI sets,One-Word Substitution,Family Tree,Mensuration ? Area & Volume,Start summarizing project insights,SQL Basics,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-06-14,Saturday,Mock Test (Sectional) + Revision,Reading Comprehension ? Abstract,Matching Puzzles,Number System,Enhance UI of Power BI dashboard,Python Basics,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-06-15,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Science,Clocks & Calendars,HCF & LCM,Check data consistency in project,Power BI ? Dashboards,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-06-16,Monday,Quant Practice + 1hr Reading Comprehension,Reading Comprehension ? Politics,Bar Graphs,Percentages,Update dashboard visuals,Google Data Analytics Module 1,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-06-17,Tuesday,DI/LR Practice + Verbal mock test,Para Jumbles,Line Graphs,Ratios & Proportions,Build new KPI in dashboard,Google Data Analytics Module 2,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-06-18,Wednesday,Mock Test (Full) + Analysis,Para Completion & Inference,Pie Charts,Averages,Update documentation of dashboard,Scrum Basics,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-06-19,Thursday,Arithmetic Practice + RC drill,Sentence Completion,Tables,"Time, Speed & Distance",Design visuals with slicers,Resume Optimization,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-06-20,Friday,Geometry + DI sets,"Fact, Inference, Judgment",Caselets,Time & Work,Start summarizing project insights,LinkedIn Profile Update,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-06-21,Saturday,Mock Test (Sectional) + Revision,Grammar Rules,Data Sufficiency,Mixtures,Enhance UI of Power BI dashboard,Build Personal Website,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-06-22,Sunday,Weekly Revision + 1hr Verbal RC,Idioms,Seating Arrangement,Quadratic Equations,Check data consistency in project,Write LinkedIn Post,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-06-23,Monday,Quant Practice + 1hr Reading Comprehension,Analogies,Blood Relations,Linear Equations,Update dashboard visuals,Connect with Alumni,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-06-24,Tuesday,DI/LR Practice + Verbal mock test,Sentence Correction,Venn Diagrams,Permutation & Combination,Build new KPI in dashboard,Mock Interview Prep,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-06-25,Wednesday,Mock Test (Full) + Analysis,Vocabulary ? Word Usage,Binary Logic,Sequence & Series,Update documentation of dashboard,SQL Basics,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-06-26,Thursday,Arithmetic Practice + RC drill,One-Word Substitution,Puzzle Sets,Triangles,Design visuals with slicers,Python Basics,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-06-27,Friday,Geometry + DI sets,Reading Comprehension ? Abstract,Syllogisms,Circles,Start summarizing project insights,Power BI ? Dashboards,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-06-28,Saturday,Mock Test (Sectional) + Revision,Reading Comprehension ? Science,Family Tree,Mensuration ? Area & Volume,Enhance UI of Power BI dashboard,Google Data Analytics Module 1,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-06-29,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Politics,Matching Puzzles,Number System,Check data consistency in project,Google Data Analytics Module 2,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-06-30,Monday,Quant Practice + 1hr Reading Comprehension,Para Jumbles,Clocks & Calendars,HCF & LCM,Update dashboard visuals,Scrum Basics,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-07-01,Tuesday,DI/LR Practice + Verbal mock test,Para Completion & Inference,Bar Graphs,Percentages,Build new KPI in dashboard,Resume Optimization,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-07-02,Wednesday,Mock Test (Full) + Analysis,Sentence Completion,Line Graphs,Ratios & Proportions,Update documentation of dashboard,LinkedIn Profile Update,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-07-03,Thursday,Arithmetic Practice + RC drill,"Fact, Inference, Judgment",Pie Charts,Averages,Design visuals with slicers,Build Personal Website,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-07-04,Friday,Geometry + DI sets,Grammar Rules,Tables,"Time, Speed & Distance",Start summarizing project insights,Write LinkedIn Post,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-07-05,Saturday,Mock Test (Sectional) + Revision,Idioms,Caselets,Time & Work,Enhance UI of Power BI dashboard,Connect with Alumni,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-07-06,Sunday,Weekly Revision + 1hr Verbal RC,Analogies,Data Sufficiency,Mixtures,Check data consistency in project,Mock Interview Prep,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-07-07,Monday,Quant Practice + 1hr Reading Comprehension,Sentence Correction,Seating Arrangement,Quadratic Equations,Update dashboard visuals,SQL Basics,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-07-08,Tuesday,DI/LR Practice + Verbal mock test,Vocabulary ? Word Usage,Blood Relations,Linear Equations,Build new KPI in dashboard,Python Basics,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-07-09,Wednesday,Mock Test (Full) + Analysis,One-Word Substitution,Venn Diagrams,Permutation & Combination,Update documentation of dashboard,Power BI ? Dashboards,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-07-10,Thursday,Arithmetic Practice + RC drill,Reading Comprehension ? Abstract,Binary Logic,Sequence & Series,Design visuals with slicers,Google Data Analytics Module 1,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-07-11,Friday,Geometry + DI sets,Reading Comprehension ? Science,Puzzle Sets,Triangles,Start summarizing project insights,Google Data Analytics Module 2,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-07-12,Saturday,Mock Test (Sectional) + Revision,Reading Comprehension ? Politics,Syllogisms,Circles,Enhance UI of Power BI dashboard,Scrum Basics,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-07-13,Sunday,Weekly Revision + 1hr Verbal RC,Para Jumbles,Family Tree,Mensuration ? Area & Volume,Check data consistency in project,Resume Optimization,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-07-14,Monday,Quant Practice + 1hr Reading Comprehension,Para Completion & Inference,Matching Puzzles,Number System,Update dashboard visuals,LinkedIn Profile Update,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-07-15,Tuesday,DI/LR Practice + Verbal mock test,Sentence Completion,Clocks & Calendars,HCF & LCM,Build new KPI in dashboard,Build Personal Website,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-07-16,Wednesday,Mock Test (Full) + Analysis,"Fact, Inference, Judgment",Bar Graphs,Percentages,Update documentation of dashboard,Write LinkedIn Post,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-07-17,Thursday,Arithmetic Practice + RC drill,Grammar Rules,Line Graphs,Ratios & Proportions,Design visuals with slicers,Connect with Alumni,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-07-18,Friday,Geometry + DI sets,Idioms,Pie Charts,Averages,Start summarizing project insights,Mock Interview Prep,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-07-19,Saturday,Mock Test (Sectional) + Revision,Analogies,Tables,"Time, Speed & Distance",Enhance UI of Power BI dashboard,SQL Basics,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-07-20,Sunday,Weekly Revision + 1hr Verbal RC,Sentence Correction,Caselets,Time & Work,Check data consistency in project,Python Basics,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-07-21,Monday,Quant Practice + 1hr Reading Comprehension,Vocabulary ? Word Usage,Data Sufficiency,Mixtures,Update dashboard visuals,Power BI ? Dashboards,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-07-22,Tuesday,DI/LR Practice + Verbal mock test,One-Word Substitution,Seating Arrangement,Quadratic Equations,Build new KPI in dashboard,Google Data Analytics Module 1,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-07-23,Wednesday,Mock Test (Full) + Analysis,Reading Comprehension ? Abstract,Blood Relations,Linear Equations,Update documentation of dashboard,Google Data Analytics Module 2,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-07-24,Thursday,Arithmetic Practice + RC drill,Reading Comprehension ? Science,Venn Diagrams,Permutation & Combination,Design visuals with slicers,Scrum Basics,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-07-25,Friday,Geometry + DI sets,Reading Comprehension ? Politics,Binary Logic,Sequence & Series,Start summarizing project insights,Resume Optimization,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-07-26,Saturday,Mock Test (Sectional) + Revision,Para Jumbles,Puzzle Sets,Triangles,Enhance UI of Power BI dashboard,LinkedIn Profile Update,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-07-27,Sunday,Weekly Revision + 1hr Verbal RC,Para Completion & Inference,Syllogisms,Circles,Check data consistency in project,Build Personal Website,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-07-28,Monday,Quant Practice + 1hr Reading Comprehension,Sentence Completion,Family Tree,Mensuration ? Area & Volume,Update dashboard visuals,Write LinkedIn Post,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-07-29,Tuesday,DI/LR Practice + Verbal mock test,"Fact, Inference, Judgment",Matching Puzzles,Number System,Build new KPI in dashboard,Connect with Alumni,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-07-30,Wednesday,Mock Test (Full) + Analysis,Grammar Rules,Clocks & Calendars,HCF & LCM,Update documentation of dashboard,Mock Interview Prep,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-07-31,Thursday,Arithmetic Practice + RC drill,Idioms,Bar Graphs,Percentages,Design visuals with slicers,SQL Basics,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-08-01,Friday,Geometry + DI sets,Analogies,Line Graphs,Ratios & Proportions,Start summarizing project insights,Python Basics,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-08-02,Saturday,Mock Test (Sectional) + Revision,Sentence Correction,Pie Charts,Averages,Enhance UI of Power BI dashboard,Power BI ? Dashboards,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-08-03,Sunday,Weekly Revision + 1hr Verbal RC,Vocabulary ? Word Usage,Tables,"Time, Speed & Distance",Check data consistency in project,Google Data Analytics Module 1,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-08-04,Monday,Quant Practice + 1hr Reading Comprehension,One-Word Substitution,Caselets,Time & Work,Update dashboard visuals,Google Data Analytics Module 2,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-08-05,Tuesday,DI/LR Practice + Verbal mock test,Reading Comprehension ? Abstract,Data Sufficiency,Mixtures,Build new KPI in dashboard,Scrum Basics,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-08-06,Wednesday,Mock Test (Full) + Analysis,Reading Comprehension ? Science,Seating Arrangement,Quadratic Equations,Update documentation of dashboard,Resume Optimization,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-08-07,Thursday,Arithmetic Practice + RC drill,Reading Comprehension ? Politics,Blood Relations,Linear Equations,Design visuals with slicers,LinkedIn Profile Update,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-08-08,Friday,Geometry + DI sets,Para Jumbles,Venn Diagrams,Permutation & Combination,Start summarizing project insights,Build Personal Website,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-08-09,Saturday,Mock Test (Sectional) + Revision,Para Completion & Inference,Binary Logic,Sequence & Series,Enhance UI of Power BI dashboard,Write LinkedIn Post,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-08-10,Sunday,Weekly Revision + 1hr Verbal RC,Sentence Completion,Puzzle Sets,Triangles,Check data consistency in project,Connect with Alumni,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-08-11,Monday,Quant Practice + 1hr Reading Comprehension,"Fact, Inference, Judgment",Syllogisms,Circles,Update dashboard visuals,Mock Interview Prep,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-08-12,Tuesday,DI/LR Practice + Verbal mock test,Grammar Rules,Family Tree,Mensuration ? Area & Volume,Build new KPI in dashboard,SQL Basics,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-08-13,Wednesday,Mock Test (Full) + Analysis,Idioms,Matching Puzzles,Number System,Update documentation of dashboard,Python Basics,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-08-14,Thursday,Arithmetic Practice + RC drill,Analogies,Clocks & Calendars,HCF & LCM,Design visuals with slicers,Power BI ? Dashboards,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-08-15,Friday,Geometry + DI sets,Sentence Correction,Bar Graphs,Percentages,Start summarizing project insights,Google Data Analytics Module 1,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-08-16,Saturday,Mock Test (Sectional) + Revision,Vocabulary ? Word Usage,Line Graphs,Ratios & Proportions,Enhance UI of Power BI dashboard,Google Data Analytics Module 2,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-08-17,Sunday,Weekly Revision + 1hr Verbal RC,One-Word Substitution,Pie Charts,Averages,Check data consistency in project,Scrum Basics,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-08-18,Monday,Quant Practice + 1hr Reading Comprehension,Reading Comprehension ? Abstract,Tables,"Time, Speed & Distance",Update dashboard visuals,Resume Optimization,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-08-19,Tuesday,DI/LR Practice + Verbal mock test,Reading Comprehension ? Science,Caselets,Time & Work,Build new KPI in dashboard,LinkedIn Profile Update,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-08-20,Wednesday,Mock Test (Full) + Analysis,Reading Comprehension ? Politics,Data Sufficiency,Mixtures,Update documentation of dashboard,Build Personal Website,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-08-21,Thursday,Arithmetic Practice + RC drill,Para Jumbles,Seating Arrangement,Quadratic Equations,Design visuals with slicers,Write LinkedIn Post,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-08-22,Friday,Geometry + DI sets,Para Completion & Inference,Blood Relations,Linear Equations,Start summarizing project insights,Connect with Alumni,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-08-23,Saturday,Mock Test (Sectional) + Revision,Sentence Completion,Venn Diagrams,Permutation & Combination,Enhance UI of Power BI dashboard,Mock Interview Prep,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-08-24,Sunday,Weekly Revision + 1hr Verbal RC,"Fact, Inference, Judgment",Binary Logic,Sequence & Series,Check data consistency in project,SQL Basics,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-08-25,Monday,Quant Practice + 1hr Reading Comprehension,Grammar Rules,Puzzle Sets,Triangles,Update dashboard visuals,Python Basics,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-08-26,Tuesday,DI/LR Practice + Verbal mock test,Idioms,Syllogisms,Circles,Build new KPI in dashboard,Power BI ? Dashboards,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-08-27,Wednesday,Mock Test (Full) + Analysis,Analogies,Family Tree,Mensuration ? Area & Volume,Update documentation of dashboard,Google Data Analytics Module 1,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-08-28,Thursday,Arithmetic Practice + RC drill,Sentence Correction,Matching Puzzles,Number System,Design visuals with slicers,Google Data Analytics Module 2,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-08-29,Friday,Geometry + DI sets,Vocabulary ? Word Usage,Clocks & Calendars,HCF & LCM,Start summarizing project insights,Scrum Basics,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-08-30,Saturday,Mock Test (Sectional) + Revision,One-Word Substitution,Bar Graphs,Percentages,Enhance UI of Power BI dashboard,Resume Optimization,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
