Date,Day,CAT/GMAT Prep,Task 1 (VARC),Task 2 (DILR),Task 3 (QA),Project Work,Task 4 (Skill),Certifications,Task 5 (Career),LinkedIn/Networking,Done ?
2025-08-31,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Abstract,Line Graphs,Ratios & Proportions,Check data consistency in project,LinkedIn Profile Update,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-09-01,Monday,Quant Practice + 1hr Reading Comprehension,Reading Comprehension ? Science,Pie Charts,Averages,Update dashboard visuals,Build Personal Website,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-09-02,Tuesday,DI/LR Practice + Verbal mock test,Reading Comprehension ? Politics,Tables,"Time, Speed & Distance",Build new KPI in dashboard,Write LinkedIn Post,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-09-03,Wednesday,Mock Test (Full) + Analysis,Para Jumbles,Caselets,Time & Work,Update documentation of dashboard,Connect with Alumni,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-09-04,Thursday,Arithmetic Practice + RC drill,Para Completion & Inference,Data Sufficiency,Mixtures,Design visuals with slicers,Mock Interview Prep,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-09-05,Friday,Geometry + DI sets,Sentence Completion,Seating Arrangement,Quadratic Equations,Start summarizing project insights,SQL Basics,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-09-06,Saturday,Mock Test (Sectional) + Revision,"Fact, Inference, Judgment",Blood Relations,Linear Equations,Enhance UI of Power BI dashboard,Python Basics,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-09-07,Sunday,Weekly Revision + 1hr Verbal RC,Grammar Rules,Venn Diagrams,Permutation & Combination,Check data consistency in project,Power BI ? Dashboards,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-09-08,Monday,Quant Practice + 1hr Reading Comprehension,Idioms,Binary Logic,Sequence & Series,Update dashboard visuals,Google Data Analytics Module 1,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-09-09,Tuesday,DI/LR Practice + Verbal mock test,Analogies,Puzzle Sets,Triangles,Build new KPI in dashboard,Google Data Analytics Module 2,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-09-10,Wednesday,Mock Test (Full) + Analysis,Sentence Correction,Syllogisms,Circles,Update documentation of dashboard,Scrum Basics,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-09-11,Thursday,Arithmetic Practice + RC drill,Vocabulary ? Word Usage,Family Tree,Mensuration ? Area & Volume,Design visuals with slicers,Resume Optimization,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-09-12,Friday,Geometry + DI sets,One-Word Substitution,Matching Puzzles,Number System,Start summarizing project insights,LinkedIn Profile Update,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-09-13,Saturday,Mock Test (Sectional) + Revision,Reading Comprehension ? Abstract,Clocks & Calendars,HCF & LCM,Enhance UI of Power BI dashboard,Build Personal Website,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-09-14,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Science,Bar Graphs,Percentages,Check data consistency in project,Write LinkedIn Post,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-09-15,Monday,Quant Practice + 1hr Reading Comprehension,Reading Comprehension ? Politics,Line Graphs,Ratios & Proportions,Update dashboard visuals,Connect with Alumni,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-09-16,Tuesday,DI/LR Practice + Verbal mock test,Para Jumbles,Pie Charts,Averages,Build new KPI in dashboard,Mock Interview Prep,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-09-17,Wednesday,Mock Test (Full) + Analysis,Para Completion & Inference,Tables,"Time, Speed & Distance",Update documentation of dashboard,SQL Basics,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-09-18,Thursday,Arithmetic Practice + RC drill,Sentence Completion,Caselets,Time & Work,Design visuals with slicers,Python Basics,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-09-19,Friday,Geometry + DI sets,"Fact, Inference, Judgment",Data Sufficiency,Mixtures,Start summarizing project insights,Power BI ? Dashboards,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-09-20,Saturday,Mock Test (Sectional) + Revision,Grammar Rules,Seating Arrangement,Quadratic Equations,Enhance UI of Power BI dashboard,Google Data Analytics Module 1,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-09-21,Sunday,Weekly Revision + 1hr Verbal RC,Idioms,Blood Relations,Linear Equations,Check data consistency in project,Google Data Analytics Module 2,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-09-22,Monday,Quant Practice + 1hr Reading Comprehension,Analogies,Venn Diagrams,Permutation & Combination,Update dashboard visuals,Scrum Basics,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-09-23,Tuesday,DI/LR Practice + Verbal mock test,Sentence Correction,Binary Logic,Sequence & Series,Build new KPI in dashboard,Resume Optimization,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-09-24,Wednesday,Mock Test (Full) + Analysis,Vocabulary ? Word Usage,Puzzle Sets,Triangles,Update documentation of dashboard,LinkedIn Profile Update,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-09-25,Thursday,Arithmetic Practice + RC drill,One-Word Substitution,Syllogisms,Circles,Design visuals with slicers,Build Personal Website,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-09-26,Friday,Geometry + DI sets,Reading Comprehension ? Abstract,Family Tree,Mensuration ? Area & Volume,Start summarizing project insights,Write LinkedIn Post,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-09-27,Saturday,Mock Test (Sectional) + Revision,Reading Comprehension ? Science,Matching Puzzles,Number System,Enhance UI of Power BI dashboard,Connect with Alumni,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-09-28,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Politics,Clocks & Calendars,HCF & LCM,Check data consistency in project,Mock Interview Prep,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-09-29,Monday,Quant Practice + 1hr Reading Comprehension,Para Jumbles,Bar Graphs,Percentages,Update dashboard visuals,SQL Basics,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-09-30,Tuesday,DI/LR Practice + Verbal mock test,Para Completion & Inference,Line Graphs,Ratios & Proportions,Build new KPI in dashboard,Python Basics,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-10-01,Wednesday,Mock Test (Full) + Analysis,Sentence Completion,Pie Charts,Averages,Update documentation of dashboard,Power BI ? Dashboards,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-10-02,Thursday,Arithmetic Practice + RC drill,"Fact, Inference, Judgment",Tables,"Time, Speed & Distance",Design visuals with slicers,Google Data Analytics Module 1,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-10-03,Friday,Geometry + DI sets,Grammar Rules,Caselets,Time & Work,Start summarizing project insights,Google Data Analytics Module 2,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-10-04,Saturday,Mock Test (Sectional) + Revision,Idioms,Data Sufficiency,Mixtures,Enhance UI of Power BI dashboard,Scrum Basics,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-10-05,Sunday,Weekly Revision + 1hr Verbal RC,Analogies,Seating Arrangement,Quadratic Equations,Check data consistency in project,Resume Optimization,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-10-06,Monday,Quant Practice + 1hr Reading Comprehension,Sentence Correction,Blood Relations,Linear Equations,Update dashboard visuals,LinkedIn Profile Update,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-10-07,Tuesday,DI/LR Practice + Verbal mock test,Vocabulary ? Word Usage,Venn Diagrams,Permutation & Combination,Build new KPI in dashboard,Build Personal Website,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-10-08,Wednesday,Mock Test (Full) + Analysis,One-Word Substitution,Binary Logic,Sequence & Series,Update documentation of dashboard,Write LinkedIn Post,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-10-09,Thursday,Arithmetic Practice + RC drill,Reading Comprehension ? Abstract,Puzzle Sets,Triangles,Design visuals with slicers,Connect with Alumni,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-10-10,Friday,Geometry + DI sets,Reading Comprehension ? Science,Syllogisms,Circles,Start summarizing project insights,Mock Interview Prep,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-10-11,Saturday,Mock Test (Sectional) + Revision,Reading Comprehension ? Politics,Family Tree,Mensuration ? Area & Volume,Enhance UI of Power BI dashboard,SQL Basics,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-10-12,Sunday,Weekly Revision + 1hr Verbal RC,Para Jumbles,Matching Puzzles,Number System,Check data consistency in project,Python Basics,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-10-13,Monday,Quant Practice + 1hr Reading Comprehension,Para Completion & Inference,Clocks & Calendars,HCF & LCM,Update dashboard visuals,Power BI ? Dashboards,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-10-14,Tuesday,DI/LR Practice + Verbal mock test,Sentence Completion,Bar Graphs,Percentages,Build new KPI in dashboard,Google Data Analytics Module 1,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-10-15,Wednesday,Mock Test (Full) + Analysis,"Fact, Inference, Judgment",Line Graphs,Ratios & Proportions,Update documentation of dashboard,Google Data Analytics Module 2,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-10-16,Thursday,Arithmetic Practice + RC drill,Grammar Rules,Pie Charts,Averages,Design visuals with slicers,Scrum Basics,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-10-17,Friday,Geometry + DI sets,Idioms,Tables,"Time, Speed & Distance",Start summarizing project insights,Resume Optimization,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-10-18,Saturday,Mock Test (Sectional) + Revision,Analogies,Caselets,Time & Work,Enhance UI of Power BI dashboard,LinkedIn Profile Update,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-10-19,Sunday,Weekly Revision + 1hr Verbal RC,Sentence Correction,Data Sufficiency,Mixtures,Check data consistency in project,Build Personal Website,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-10-20,Monday,Quant Practice + 1hr Reading Comprehension,Vocabulary ? Word Usage,Seating Arrangement,Quadratic Equations,Update dashboard visuals,Write LinkedIn Post,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-10-21,Tuesday,DI/LR Practice + Verbal mock test,One-Word Substitution,Blood Relations,Linear Equations,Build new KPI in dashboard,Connect with Alumni,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-10-22,Wednesday,Mock Test (Full) + Analysis,Reading Comprehension ? Abstract,Venn Diagrams,Permutation & Combination,Update documentation of dashboard,Mock Interview Prep,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-10-23,Thursday,Arithmetic Practice + RC drill,Reading Comprehension ? Science,Binary Logic,Sequence & Series,Design visuals with slicers,SQL Basics,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-10-24,Friday,Geometry + DI sets,Reading Comprehension ? Politics,Puzzle Sets,Triangles,Start summarizing project insights,Python Basics,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-10-25,Saturday,Mock Test (Sectional) + Revision,Para Jumbles,Syllogisms,Circles,Enhance UI of Power BI dashboard,Power BI ? Dashboards,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-10-26,Sunday,Weekly Revision + 1hr Verbal RC,Para Completion & Inference,Family Tree,Mensuration ? Area & Volume,Check data consistency in project,Google Data Analytics Module 1,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-10-27,Monday,Quant Practice + 1hr Reading Comprehension,Sentence Completion,Matching Puzzles,Number System,Update dashboard visuals,Google Data Analytics Module 2,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-10-28,Tuesday,DI/LR Practice + Verbal mock test,"Fact, Inference, Judgment",Clocks & Calendars,HCF & LCM,Build new KPI in dashboard,Scrum Basics,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-10-29,Wednesday,Mock Test (Full) + Analysis,Grammar Rules,Bar Graphs,Percentages,Update documentation of dashboard,Resume Optimization,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-10-30,Thursday,Arithmetic Practice + RC drill,Idioms,Line Graphs,Ratios & Proportions,Design visuals with slicers,LinkedIn Profile Update,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-10-31,Friday,Geometry + DI sets,Analogies,Pie Charts,Averages,Start summarizing project insights,Build Personal Website,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-11-01,Saturday,Mock Test (Sectional) + Revision,Sentence Correction,Tables,"Time, Speed & Distance",Enhance UI of Power BI dashboard,Write LinkedIn Post,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-11-02,Sunday,Weekly Revision + 1hr Verbal RC,Vocabulary ? Word Usage,Caselets,Time & Work,Check data consistency in project,Connect with Alumni,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-11-03,Monday,Quant Practice + 1hr Reading Comprehension,One-Word Substitution,Data Sufficiency,Mixtures,Update dashboard visuals,Mock Interview Prep,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-11-04,Tuesday,DI/LR Practice + Verbal mock test,Reading Comprehension ? Abstract,Seating Arrangement,Quadratic Equations,Build new KPI in dashboard,SQL Basics,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-11-05,Wednesday,Mock Test (Full) + Analysis,Reading Comprehension ? Science,Blood Relations,Linear Equations,Update documentation of dashboard,Python Basics,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-11-06,Thursday,Arithmetic Practice + RC drill,Reading Comprehension ? Politics,Venn Diagrams,Permutation & Combination,Design visuals with slicers,Power BI ? Dashboards,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-11-07,Friday,Geometry + DI sets,Para Jumbles,Binary Logic,Sequence & Series,Start summarizing project insights,Google Data Analytics Module 1,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-11-08,Saturday,Mock Test (Sectional) + Revision,Para Completion & Inference,Puzzle Sets,Triangles,Enhance UI of Power BI dashboard,Google Data Analytics Module 2,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-11-09,Sunday,Weekly Revision + 1hr Verbal RC,Sentence Completion,Syllogisms,Circles,Check data consistency in project,Scrum Basics,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
2025-11-10,Monday,Quant Practice + 1hr Reading Comprehension,"Fact, Inference, Judgment",Family Tree,Mensuration ? Area & Volume,Update dashboard visuals,Resume Optimization,Watch Data Analytics course module,Apply on LinkedIn,Engage with 2 LinkedIn posts,
2025-11-11,Tuesday,DI/LR Practice + Verbal mock test,Grammar Rules,Matching Puzzles,Number System,Build new KPI in dashboard,LinkedIn Profile Update,Practice SQL queries,Connect with a mentor,Send 1 connection request + comment,
2025-11-12,Wednesday,Mock Test (Full) + Analysis,Idioms,Clocks & Calendars,HCF & LCM,Update documentation of dashboard,Build Personal Website,Python for Data Science - Lists & Loops,Update portfolio,Draft LinkedIn project post,
2025-11-13,Thursday,Arithmetic Practice + RC drill,Analogies,Bar Graphs,Percentages,Design visuals with slicers,Write LinkedIn Post,Watch Power BI tutorial,Apply on LinkedIn,Engage with industry content,
2025-11-14,Friday,Geometry + DI sets,Sentence Correction,Line Graphs,Ratios & Proportions,Start summarizing project insights,Connect with Alumni,Create SQL project mini-report,Connect with a mentor,Connect with 1 BA or PM,
2025-11-15,Saturday,Mock Test (Sectional) + Revision,Vocabulary ? Word Usage,Pie Charts,Averages,Enhance UI of Power BI dashboard,Mock Interview Prep,Review previous course progress,Update portfolio,Post project update on LinkedIn,
2025-11-16,Sunday,Weekly Revision + 1hr Verbal RC,One-Word Substitution,Tables,"Time, Speed & Distance",Check data consistency in project,SQL Basics,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-11-17,Monday,Quant Practice + 1hr Reading Comprehension,Reading Comprehension ? Abstract,Caselets,Time & Work,Update dashboard visuals,Python Basics,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-11-18,Tuesday,DI/LR Practice + Verbal mock test,Reading Comprehension ? Science,Data Sufficiency,Mixtures,Build new KPI in dashboard,Power BI ? Dashboards,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-11-19,Wednesday,Mock Test (Full) + Analysis,Reading Comprehension ? Politics,Seating Arrangement,Quadratic Equations,Update documentation of dashboard,Google Data Analytics Module 1,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-11-20,Thursday,Arithmetic Practice + RC drill,Para Jumbles,Blood Relations,Linear Equations,Design visuals with slicers,Google Data Analytics Module 2,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-11-21,Friday,Geometry + DI sets,Para Completion & Inference,Venn Diagrams,Permutation & Combination,Start summarizing project insights,Scrum Basics,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-11-22,Saturday,Mock Test (Sectional) + Revision,Sentence Completion,Binary Logic,Sequence & Series,Enhance UI of Power BI dashboard,Resume Optimization,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-11-23,Sunday,Weekly Revision + 1hr Verbal RC,"Fact, Inference, Judgment",Puzzle Sets,Triangles,Check data consistency in project,LinkedIn Profile Update,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-11-24,Monday,Quant Practice + 1hr Reading Comprehension,Grammar Rules,Syllogisms,Circles,Update dashboard visuals,Build Personal Website,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-11-25,Tuesday,DI/LR Practice + Verbal mock test,Idioms,Family Tree,Mensuration ? Area & Volume,Build new KPI in dashboard,Write LinkedIn Post,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-11-26,Wednesday,Mock Test (Full) + Analysis,Analogies,Matching Puzzles,Number System,Update documentation of dashboard,Connect with Alumni,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-11-27,Thursday,Arithmetic Practice + RC drill,Sentence Correction,Clocks & Calendars,HCF & LCM,Design visuals with slicers,Mock Interview Prep,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-11-28,Friday,Geometry + DI sets,Vocabulary ? Word Usage,Bar Graphs,Percentages,Start summarizing project insights,SQL Basics,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-11-29,Saturday,Mock Test (Sectional) + Revision,One-Word Substitution,Line Graphs,Ratios & Proportions,Enhance UI of Power BI dashboard,Python Basics,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-11-30,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Abstract,Pie Charts,Averages,Check data consistency in project,Power BI ? Dashboards,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
